ID,Independent Variable 1,Independent Variable 2,Independent Variable 3,Independent Variable 4,Independent Variable 5,Independent Variable 6,Independent Variable 7,ROOT_CAUSE
1,1,0,0,1,0,1,1,NETWORK_DELAY
2,1,0,0,1,1,1,1,DATABASE_ISSUE
3,1,0,1,1,1,1,0,DATABASE_ISSUE
4,0,0,1,1,0,1,0,NETWORK_DELAY
5,1,1,0,0,1,0,0,NETWORK_DELAY
6,0,0,0,1,0,0,1,NETWORK_DELAY
7,0,1,1,0,1,1,0,DATABASE_ISSUE
8,1,0,1,1,1,1,1,DATABASE_ISSUE
9,1,1,1,0,0,1,0,NETWORK_DELAY
10,1,0,1,1,0,1,0,NETWORK_DELAY
11,1,0,1,1,1,1,0,DATABASE_ISSUE
12,0,1,0,0,1,1,0,NETWORK_DELAY
13,0,1,1,1,0,1,0,NETWORK_DELAY
14,1,1,0,0,1,1,1,NETWORK_DELAY
15,1,1,0,0,0,0,0,NETWORK_DELAY
16,0,0,0,0,0,1,1,NETWORK_DELAY
17,1,1,1,1,0,0,0,NETWORK_DELAY
18,1,0,1,1,0,1,1,DATABASE_ISSUE
19,0,0,0,1,0,0,1,NETWORK_DELAY
20,1,0,0,0,1,1,1,NETWORK_DELAY
21,0,0,1,0,0,0,0,NETWORK_DELAY
22,0,0,1,0,0,0,0,NETWORK_DELAY
23,1,0,0,1,1,1,1,DATABASE_ISSUE
24,0,1,1,1,1,0,1,DATABASE_ISSUE
25,1,1,1,0,0,0,0,NETWORK_DELAY
26,0,1,1,0,1,1,0,DATABASE_ISSUE
27,0,0,0,1,0,1,1,NETWORK_DELAY
28,0,0,0,1,0,0,0,NETWORK_DELAY
29,0,1,1,0,0,1,1,NETWORK_DELAY
30,0,1,1,0,0,1,0,NETWORK_DELAY
31,0,1,0,1,1,1,0,DATABASE_ISSUE
32,0,1,1,0,0,0,0,NETWORK_DELAY
33,1,1,1,0,0,0,1,DATABASE_ISSUE
34,1,0,0,0,1,0,0,NETWORK_DELAY
35,1,0,0,0,1,0,1,NETWORK_DELAY
36,0,1,0,1,0,1,0,NETWORK_DELAY
37,0,0,1,1,1,0,1,DATABASE_ISSUE
38,1,0,1,0,0,1,1,NETWORK_DELAY
39,1,1,1,0,0,1,0,NETWORK_DELAY
40,0,1,0,0,1,0,1,DATABASE_ISSUE
41,0,0,0,0,0,1,0,NETWORK_DELAY
42,1,1,0,0,1,1,0,NETWORK_DELAY
43,1,1,1,0,1,0,0,NETWORK_DELAY
44,1,0,1,1,1,1,1,DATABASE_ISSUE
45,1,0,1,0,1,1,1,DATABASE_ISSUE
46,0,1,1,0,1,1,0,NETWORK_DELAY
47,0,1,1,1,1,0,1,DATABASE_ISSUE
48,0,1,0,0,0,1,0,NETWORK_DELAY
49,1,0,0,1,1,1,1,DATABASE_ISSUE
50,1,0,1,1,0,1,0,NETWORK_DELAY
51,0,0,0,0,0,1,1,NETWORK_DELAY
52,0,0,0,0,0,1,1,NETWORK_DELAY
53,1,1,0,0,1,0,0,DATABASE_ISSUE
54,1,1,0,1,1,1,1,DATABASE_ISSUE
55,0,0,1,1,0,0,0,NETWORK_DELAY
56,0,0,1,0,1,1,0,NETWORK_DELAY
57,1,1,1,1,0,1,1,NETWORK_DELAY
58,0,1,0,1,0,0,1,NETWORK_DELAY
59,1,0,0,1,1,1,1,NETWORK_DELAY
60,0,0,0,0,1,0,1,NETWORK_DELAY
61,0,0,0,0,0,0,0,MEMORY_LEAK
62,0,0,1,1,1,1,1,DATABASE_ISSUE
63,1,1,0,0,0,0,1,NETWORK_DELAY
64,1,0,1,1,1,1,0,DATABASE_ISSUE
65,0,0,1,0,1,0,1,NETWORK_DELAY
66,1,0,0,0,0,1,0,NETWORK_DELAY
67,1,0,0,0,0,1,0,MEMORY_LEAK
68,1,0,1,0,1,1,1,DATABASE_ISSUE
69,1,0,0,0,0,1,1,NETWORK_DELAY
70,1,1,0,1,0,1,0,NETWORK_DELAY
71,0,1,0,0,1,0,0,NETWORK_DELAY
72,0,0,0,0,1,0,1,NETWORK_DELAY
73,0,0,1,0,1,0,0,NETWORK_DELAY
74,1,0,0,1,0,0,1,NETWORK_DELAY
75,0,1,1,0,0,1,1,NETWORK_DELAY
76,0,1,1,0,0,0,0,NETWORK_DELAY
77,1,0,0,1,1,0,1,DATABASE_ISSUE
78,0,1,0,1,1,0,0,DATABASE_ISSUE
79,0,1,0,0,0,1,1,NETWORK_DELAY
80,0,1,0,0,0,1,1,NETWORK_DELAY
81,1,0,0,0,0,1,1,NETWORK_DELAY
82,1,1,0,1,1,0,1,DATABASE_ISSUE
83,0,0,0,0,0,0,1,NETWORK_DELAY
84,0,0,0,1,1,1,0,NETWORK_DELAY
85,1,1,1,1,0,1,1,DATABASE_ISSUE
86,0,1,0,0,1,0,1,NETWORK_DELAY
87,0,1,1,0,0,0,1,NETWORK_DELAY
88,1,1,0,1,0,0,1,NETWORK_DELAY
89,1,1,1,0,1,0,1,DATABASE_ISSUE
90,0,0,1,0,1,1,1,DATABASE_ISSUE
91,1,0,1,0,0,1,0,NETWORK_DELAY
92,1,0,0,1,1,0,0,DATABASE_ISSUE
93,0,1,0,0,1,0,0,NETWORK_DELAY
94,1,1,0,0,1,1,0,NETWORK_DELAY
95,0,0,1,1,1,0,0,DATABASE_ISSUE
96,0,0,0,1,1,0,1,NETWORK_DELAY
97,0,1,0,0,0,0,0,MEMORY_LEAK
98,0,0,0,1,0,1,0,NETWORK_DELAY
99,0,0,1,1,1,0,1,DATABASE_ISSUE
100,1,0,1,1,0,1,0,DATABASE_ISSUE
101,0,0,1,1,1,0,0,DATABASE_ISSUE
102,1,0,0,0,1,0,1,NETWORK_DELAY
103,0,1,1,1,0,0,1,NETWORK_DELAY
104,0,1,0,0,0,1,0,NETWORK_DELAY
105,1,1,1,0,1,0,0,DATABASE_ISSUE
106,0,0,0,0,1,0,0,NETWORK_DELAY
107,1,1,0,0,0,0,0,NETWORK_DELAY
108,0,1,1,1,0,0,0,DATABASE_ISSUE
109,0,1,1,1,1,1,1,DATABASE_ISSUE
110,0,0,0,1,0,0,1,NETWORK_DELAY
111,0,1,0,1,1,1,1,DATABASE_ISSUE
112,1,0,1,1,1,0,1,DATABASE_ISSUE
113,0,0,0,0,0,1,1,NETWORK_DELAY
114,1,1,1,1,1,1,1,DATABASE_ISSUE
115,1,1,1,1,0,0,0,NETWORK_DELAY
116,0,0,0,1,0,0,1,NETWORK_DELAY
117,1,1,1,0,1,0,1,DATABASE_ISSUE
118,0,0,1,0,1,0,0,DATABASE_ISSUE
119,1,1,1,0,0,0,0,NETWORK_DELAY
120,0,0,0,0,1,0,0,NETWORK_DELAY
121,0,1,0,1,0,1,1,DATABASE_ISSUE
122,0,0,1,1,1,0,1,DATABASE_ISSUE
123,1,0,1,0,0,1,0,NETWORK_DELAY
124,1,0,0,0,0,1,1,NETWORK_DELAY
125,1,0,1,1,0,0,1,DATABASE_ISSUE
126,0,1,1,0,0,0,0,NETWORK_DELAY
127,1,1,0,1,1,0,0,NETWORK_DELAY
128,1,1,1,1,0,0,0,NETWORK_DELAY
129,0,0,0,1,1,0,0,NETWORK_DELAY
130,1,0,0,1,0,0,0,NETWORK_DELAY
131,1,0,0,1,0,0,1,NETWORK_DELAY
132,1,0,1,1,1,1,1,DATABASE_ISSUE
133,0,1,1,1,1,0,1,DATABASE_ISSUE
134,1,1,0,0,1,1,1,NETWORK_DELAY
135,0,1,1,0,1,0,1,DATABASE_ISSUE
136,1,1,1,0,0,0,1,NETWORK_DELAY
137,0,1,1,1,0,0,1,DATABASE_ISSUE
138,0,0,0,0,1,0,1,NETWORK_DELAY
