ID,Independent Variable 1,Independent Variable 2,Independent Variable 3,Independent Variable 4,Independent Variable 5,Independent Variable 6,Independent Variable 7,ROOT_CAUSE
1,0,0,0,1,1,1,0,MEMORY_LEAK
2,0,0,1,0,1,0,0,NETWORK_DELAY
3,1,1,0,1,1,0,1,DATABASE_ISSUE
4,1,1,1,1,0,1,0,DATABASE_ISSUE
5,0,0,0,0,1,0,0,NETWORK_DELAY
6,1,0,0,1,0,1,0,NETWORK_DELAY
7,1,0,0,0,1,0,0,NETWORK_DELAY
8,1,0,0,1,0,1,0,NETWORK_DELAY
9,0,0,1,1,1,1,0,DATABASE_ISSUE
10,0,0,1,1,1,1,1,DATABASE_ISSUE
11,1,1,1,1,1,0,1,DATABASE_ISSUE
12,0,1,0,0,1,1,1,DATABASE_ISSUE
13,1,0,0,1,0,0,0,MEMORY_LEAK
14,1,0,0,1,1,0,1,DATABASE_ISSUE
15,0,0,1,0,0,1,0,MEMORY_LEAK
16,0,1,0,0,1,0,1,NETWORK_DELAY
17,1,0,0,1,0,1,0,NETWORK_DELAY
18,1,1,1,0,0,1,1,NETWORK_DELAY
19,0,0,0,1,0,0,0,MEMORY_LEAK
20,0,1,0,0,0,0,0,MEMORY_LEAK
21,0,1,0,0,0,1,1,NETWORK_DELAY
22,0,1,1,0,1,0,0,DATABASE_ISSUE
23,0,1,0,1,1,0,1,DATABASE_ISSUE
24,0,0,1,0,0,1,1,NETWORK_DELAY
25,1,0,1,0,0,0,1,NETWORK_DELAY
26,1,0,0,1,0,0,0,MEMORY_LEAK
27,0,1,0,1,1,1,0,DATABASE_ISSUE
28,1,0,1,1,0,1,0,NETWORK_DELAY
29,0,0,0,0,1,0,0,NETWORK_DELAY
30,0,1,0,1,0,1,0,NETWORK_DELAY
31,0,0,1,0,0,1,1,NETWORK_DELAY
32,0,1,0,0,1,1,1,DATABASE_ISSUE
33,0,0,0,0,0,1,0,MEMORY_LEAK
34,0,0,0,0,1,0,0,NETWORK_DELAY
35,1,1,1,1,1,1,1,DATABASE_ISSUE
36,1,0,1,1,0,1,1,DATABASE_ISSUE
37,1,0,0,0,0,0,1,MEMORY_LEAK
38,1,1,1,0,0,1,1,NETWORK_DELAY
39,1,1,1,0,0,0,0,NETWORK_DELAY
40,0,1,0,1,1,1,0,DATABASE_ISSUE
41,0,1,0,0,0,1,0,MEMORY_LEAK
42,1,1,1,1,1,0,1,DATABASE_ISSUE
43,1,1,0,0,0,1,0,MEMORY_LEAK
44,1,0,1,1,0,1,0,NETWORK_DELAY
45,1,1,0,1,1,0,0,DATABASE_ISSUE
46,1,0,0,1,0,0,1,NETWORK_DELAY
47,1,0,1,0,0,0,1,NETWORK_DELAY
48,1,1,1,1,0,1,0,DATABASE_ISSUE
49,1,1,0,0,0,0,1,NETWORK_DELAY
50,1,0,0,0,1,1,0,NETWORK_DELAY
51,0,0,0,1,1,1,0,DATABASE_ISSUE
52,1,0,1,1,1,0,1,DATABASE_ISSUE
53,0,1,0,1,0,1,1,NETWORK_DELAY
54,1,1,1,0,1,1,0,DATABASE_ISSUE
55,0,1,1,1,1,0,0,DATABASE_ISSUE
56,0,1,1,0,0,0,0,NETWORK_DELAY
57,0,1,0,0,0,1,0,MEMORY_LEAK
58,1,0,1,0,1,0,1,DATABASE_ISSUE
59,1,0,1,1,1,1,0,DATABASE_ISSUE
60,0,0,1,0,0,1,1,NETWORK_DELAY
61,1,0,1,1,0,0,0,NETWORK_DELAY
62,1,1,0,0,1,0,1,DATABASE_ISSUE
63,1,1,0,1,0,0,0,NETWORK_DELAY
64,0,1,1,1,0,0,0,NETWORK_DELAY
65,0,0,0,0,1,0,1,NETWORK_DELAY
66,1,0,0,0,1,0,0,NETWORK_DELAY
67,0,1,0,0,0,1,1,NETWORK_DELAY
68,0,1,1,1,1,0,0,DATABASE_ISSUE
69,0,1,1,1,0,0,0,NETWORK_DELAY
70,0,1,1,1,1,0,0,DATABASE_ISSUE
71,0,1,1,0,1,0,0,DATABASE_ISSUE
72,1,1,0,0,0,1,1,NETWORK_DELAY
73,1,0,1,0,1,1,0,NETWORK_DELAY
74,1,0,0,1,1,0,1,DATABASE_ISSUE
75,0,0,0,1,1,1,0,DATABASE_ISSUE
76,1,1,0,0,1,0,0,NETWORK_DELAY
77,0,1,1,1,0,1,0,DATABASE_ISSUE
78,0,0,0,1,1,1,0,DATABASE_ISSUE
79,1,1,1,0,1,1,1,DATABASE_ISSUE
80,1,1,0,0,1,0,1,DATABASE_ISSUE
81,1,0,1,1,0,1,1,DATABASE_ISSUE
82,1,0,0,1,1,0,1,DATABASE_ISSUE
83,1,1,0,1,0,1,1,DATABASE_ISSUE
84,1,0,1,1,1,0,0,DATABASE_ISSUE
85,1,0,0,1,1,1,1,DATABASE_ISSUE
86,1,1,1,1,0,0,0,DATABASE_ISSUE
87,1,0,0,0,1,0,1,NETWORK_DELAY
88,1,1,1,0,1,1,1,DATABASE_ISSUE
89,0,1,0,0,0,1,1,NETWORK_DELAY
90,1,1,0,0,0,1,1,NETWORK_DELAY
91,0,1,1,0,0,1,0,NETWORK_DELAY
92,0,0,0,1,0,1,1,NETWORK_DELAY
93,0,1,1,0,0,1,1,NETWORK_DELAY
94,1,0,1,1,1,0,0,DATABASE_ISSUE
95,0,0,0,1,0,1,0,NETWORK_DELAY
96,0,1,1,0,0,0,1,NETWORK_DELAY
97,0,1,0,0,0,0,1,MEMORY_LEAK
98,1,0,1,0,0,1,1,NETWORK_DELAY
99,1,0,0,1,1,0,0,NETWORK_DELAY
100,0,0,1,0,0,1,0,MEMORY_LEAK
101,1,1,0,1,0,0,0,NETWORK_DELAY
102,0,0,0,1,1,1,1,DATABASE_ISSUE
103,0,0,0,1,1,1,0,DATABASE_ISSUE
104,0,0,0,0,0,1,0,MEMORY_LEAK
105,0,0,1,0,0,1,0,MEMORY_LEAK
106,1,0,0,0,1,1,0,NETWORK_DELAY
107,0,0,0,1,1,0,0,NETWORK_DELAY
108,1,0,0,0,1,1,1,NETWORK_DELAY
109,0,1,0,1,1,0,0,DATABASE_ISSUE
110,0,1,1,0,1,1,0,DATABASE_ISSUE
111,1,0,1,0,0,1,1,NETWORK_DELAY
112,1,0,0,1,0,1,0,NETWORK_DELAY
113,0,0,0,1,1,1,0,DATABASE_ISSUE
114,1,0,0,0,1,0,0,NETWORK_DELAY
115,1,1,0,0,1,1,0,NETWORK_DELAY
116,1,1,0,0,1,1,1,DATABASE_ISSUE
117,0,1,1,0,0,0,1,NETWORK_DELAY
118,0,1,0,1,0,1,1,NETWORK_DELAY
119,0,0,1,1,1,0,1,DATABASE_ISSUE
120,1,1,1,1,0,1,0,DATABASE_ISSUE
121,0,0,0,1,0,0,0,MEMORY_LEAK
122,1,0,1,0,1,1,1,DATABASE_ISSUE
123,0,1,0,1,0,0,1,NETWORK_DELAY
124,0,1,1,1,0,0,0,NETWORK_DELAY
125,1,1,1,0,1,0,1,DATABASE_ISSUE
